recid,province,department,dcode,year,month,dip,pres,total,ucr,pj,soc,con,enp,urb,lit,pop
6046,Buenos Aires,25 de Mayo,1000,1914,NA,1,0,1446,724,NA,0,722,1.9999961853027344,0.294494092464447,0.5630297084008475,31094
6227,Buenos Aires,25 de Mayo,1000,1916,NA,1,0,2725,1358,NA,38,1329,2.0559070110321045,0.2953885414383628,0.579200029373169,31598.60606060608
6539,Buenos Aires,25 de Mayo,1000,1918,NA,1,0,2698,1863,NA,35,800,1.7702369689941406,0.29628299041227857,0.5953703503454886,32103.212121212156
6798,Buenos Aires,25 de Mayo,1000,1920,NA,1,0,2664,1620,NA,42,1002,1.95497727394104,0.29717743938619434,0.6115406713178082,32607.818181818177
136,Buenos Aires,25 de Mayo,1000,1922,NA,0,1,2097,1584,NA,8,505,1.5908749103546143,0.2980718883601102,0.6277109922901278,33112.424242424255
7076,Buenos Aires,25 de Mayo,1000,1926,NA,1,0,1863,1391,NA,53,417,1.643681287765503,0.2998607863079418,0.6600516342347671,34121.63636363635
472,Buenos Aires,25 de Mayo,1000,1928,NA,0,1,5553,2944,NA,8,2423,2.6409318447113037,0.30075523528185755,0.6762219552070867,34626.24242424243
7448,Buenos Aires,25 de Mayo,1000,1930,NA,1,0,5239,2392,NA,23,2824,2.0038535594940186,0.3016496842557733,0.6923922761794064,35130.84848484851
929,Buenos Aires,25 de Mayo,1000,1946,NA,0,1,8808,2699,5878,NA,231,1.8520649671554565,0.30880527604709973,0.8217548439579634,39167.69696969696
14900,Buenos Aires,25 de Mayo,1000,1948,3,1,0,6350,1340,4184,64,572,2.051950216293335,0.32897272935280597,0.8326802321455702,39075.84615384613
15197,Buenos Aires,25 de Mayo,1000,1948,12,1,0,6765,1120,5196,NA,NA,1.613404393196106,0.32897272935280597,0.8326802321455702,39075.84615384613
7911,Buenos Aires,25 de Mayo,1000,1954,NA,1,0,19509,4708,13222,95,1022,1.9207967519760132,0.447294102265289,0.849721598354253,37010.923076923005
14532,Buenos Aires,25 de Mayo,1000,1957,NA,1,0,19281,12232,3804,314,1618,4.156740188598633,0.5064547887215269,0.8582422814585948,35978.4615384615
1381,Buenos Aires,25 de Mayo,1000,1958,NA,0,1,20144,15144,168,127,642,3.2325170040130615,0.5261750175402753,0.8610825091600418,35634.30769230763
15611,Buenos Aires,25 de Mayo,1000,1960,NA,1,0,19338,9971,4501,NA,283,4.69631290435791,0.5656154751777649,0.8667629645629367,34946
8345,Buenos Aires,25 de Mayo,1000,1962,NA,1,0,20125,8994,7268,NA,117,4.0866169929504395,0.5628962397575381,0.8724434199658315,34756.19999999998
16009,Buenos Aires,25 de Mayo,1000,1963,NA,1,0,16468,8482,2836,NA,692,5.041146278381348,0.5615366220474245,0.8752836476672785,34661.29999999999
5557,Buenos Aires,25 de Mayo,1000,1963,NA,0,1,19892,8702,2892,NA,705,7.132596969604492,0.5615366220474245,0.8752836476672785,34661.29999999999
8779,Buenos Aires,25 de Mayo,1000,1965,NA,1,0,19883,8216,7733,NA,182,3.785923957824707,0.5588173866271973,0.8809641030701725,34471.5
16481,Buenos Aires,25 de Mayo,1000,1973,3,1,0,21905,7078,10348,NA,NA,2.9749927520751953,0.5722780585288998,0.903685924681751,34150.600000000006
4504,Buenos Aires,25 de Mayo,1000,1973,3,0,1,21951,6933,10340,NA,NA,3.003836154937744,0.5722780585288998,0.903685924681751,34150.600000000006
5042,Buenos Aires,25 de Mayo,1000,1973,9,0,1,21338,6376,10530,NA,NA,2.847910165786743,0.5722780585288998,0.903685924681751,34150.600000000006
9092,Buenos Aires,25 de Mayo,1000,1983,NA,1,0,22569,12068,8166,NA,NA,2.388944149017334,0.6398072600364717,0.9320882016962226,34438.90909090909
1706,Buenos Aires,25 de Mayo,1000,1983,NA,0,1,22614,12370,8401,NA,NA,2.281094789505005,0.6398072600364717,0.9320882016962226,34438.90909090909
9617,Buenos Aires,25 de Mayo,1000,1985,NA,1,0,21785,10810,1443,NA,3,2.9780049324035645,0.6533131003379875,0.9377686570991175,34392.181818181816
10143,Buenos Aires,25 de Mayo,1000,1987,NA,1,0,22384,9208,8979,NA,NA,2.944950819015503,0.6668189406395033,0.9434491125020115,34345.454545454544
10726,Buenos Aires,25 de Mayo,1000,1989,NA,1,0,22353,6988,10173,NA,NA,3.1921844482421875,0.6803247809410191,0.9491295679049063,34298.72727272727
2286,Buenos Aires,25 de Mayo,1000,1989,NA,0,1,22443,7799,10484,NA,NA,3.0506246089935303,0.6803247809410191,0.9491295679049063,34298.72727272727
11199,Buenos Aires,25 de Mayo,1000,1991,NA,1,0,21716,5858,10341,NA,57,3.196913957595825,0.6938306212425349,0.9548100233078003,34252
11728,Buenos Aires,25 de Mayo,1000,1993,NA,1,0,21694,6465,10177,NA,NA,3.0827839374542236,0.7073364615440507,0.9581400156021118,34377
2759,Buenos Aires,25 de Mayo,1000,1995,NA,0,1,21828,3826,10683,NA,NA,2.9983673095703125,0.7208423018455665,0.9614700078964233,34502
