category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,02,9473784,0001,16107,Mov. de Integración y Desarrollo
presi,gral,2003,02,9473784,0003,81615,Unión Cívica Radical
presi,gral,2003,02,9473784,0005,15844,Partido Demócrata Cristiano
presi,gral,2003,02,9473784,0014,61937,Partido Obrero
presi,gral,2003,02,9473784,0022,50116,Partido Humanista
presi,gral,2003,02,9473784,0030,26064,Partido Socialista Auténtico
presi,gral,2003,02,9473784,0037,11987,Mov. por la Dignidad y la Independencia
presi,gral,2003,02,9473784,0050,88534,Partido Socialista
presi,gral,2003,02,9473784,0051,22252,Partido Popular de la Reconstrucción
presi,gral,2003,02,9473784,0053,88700,Conf. Para que se Vayan Todos
presi,gral,2003,02,9473784,0131,1160082,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,02,9473784,0132,1022944,Al. Frente Movimiento Popular
presi,gral,2003,02,9473784,0133,1493058,Al. Frente por la Lealtad
presi,gral,2003,02,9473784,0134,1136634,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,02,9473784,0135,1851632,Al. Frente para la Victoria
presi,gral,2003,02,9473784,0136,173521,Al. Izquierda Unida
presi,gral,2003,02,9473784,0137,36798,Al. Tiempo de Cambios
presi,gral,2003,02,9473784,0138,17728,Al. Unidos o Dominados
presi,gral,2003,02,9473784,blancos,53987,blancos
presi,gral,2003,02,9473784,nulos,121633,nulos
