category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,01,2590435,0001,2985,Mov. de Integración y Desarrollo
presi,gral,2003,01,2590435,0003,16216,Unión Cívica Radical
presi,gral,2003,01,2590435,0005,6324,Partido Demócrata Cristiano
presi,gral,2003,01,2590435,0014,14828,Partido Obrero
presi,gral,2003,01,2590435,0022,16371,Partido Humanista
presi,gral,2003,01,2590435,0030,7302,Partido Socialista Auténtico
presi,gral,2003,01,2590435,0037,1843,Mov. por la Dignidad y la Independencia
presi,gral,2003,01,2590435,0050,50703,Partido Socialista
presi,gral,2003,01,2590435,0051,4264,Partido Popular de la Reconstrucción
presi,gral,2003,01,2590435,0053,15948,Conf. Para que se Vayan Todos
presi,gral,2003,01,2590435,0131,503800,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,01,2590435,0132,160767,Al. Frente Movimiento Popular
presi,gral,2003,01,2590435,0133,312606,Al. Frente por la Lealtad
presi,gral,2003,01,2590435,0134,386955,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,01,2590435,0135,379779,Al. Frente para la Victoria
presi,gral,2003,01,2590435,0136,56461,Al. Izquierda Unida
presi,gral,2003,01,2590435,0137,11116,Al. Tiempo de Cambios
presi,gral,2003,01,2590435,0138,3052,Al. Unidos o Dominados
presi,gral,2003,01,2590435,blancos,11728,blancos
presi,gral,2003,01,2590435,nulos,26795,nulos
