category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,07,277489,0001,724,Mov. de Integración y Desarrollo
presi,gral,2003,07,277489,0003,5593,Unión Cívica Radical
presi,gral,2003,07,277489,0005,310,Partido Demócrata Cristiano
presi,gral,2003,07,277489,0014,944,Partido Obrero
presi,gral,2003,07,277489,0022,1293,Partido Humanista
presi,gral,2003,07,277489,0030,13,Partido Socialista Auténtico
presi,gral,2003,07,277489,0037,263,Mov. por la Dignidad y la Independencia
presi,gral,2003,07,277489,0050,1390,Partido Socialista
presi,gral,2003,07,277489,0051,355,Partido Popular de la Reconstrucción
presi,gral,2003,07,277489,0053,710,Conf. Para que se Vayan Todos
presi,gral,2003,07,277489,0131,17245,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,07,277489,0132,9865,Al. Frente Movimiento Popular
presi,gral,2003,07,277489,0133,38564,Al. Frente por la Lealtad
presi,gral,2003,07,277489,0134,22878,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,07,277489,0135,103315,Al. Frente para la Victoria
presi,gral,2003,07,277489,0136,1937,Al. Izquierda Unida
presi,gral,2003,07,277489,0137,683,Al. Tiempo de Cambios
presi,gral,2003,07,277489,0138,2,Al. Unidos o Dominados
presi,gral,2003,07,277489,blancos,1501,blancos
presi,gral,2003,07,277489,nulos,4737,nulos
