category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,04,2232112,0001,4256,Mov. de Integración y Desarrollo
presi,gral,2003,04,2232112,0003,47188,Unión Cívica Radical
presi,gral,2003,04,2232112,0005,5470,Partido Demócrata Cristiano
presi,gral,2003,04,2232112,0014,14551,Partido Obrero
presi,gral,2003,04,2232112,0022,7977,Partido Humanista
presi,gral,2003,04,2232112,0030,3665,Partido Socialista Auténtico
presi,gral,2003,04,2232112,0037,3502,Mov. por la Dignidad y la Independencia
presi,gral,2003,04,2232112,0050,11958,Partido Socialista
presi,gral,2003,04,2232112,0051,2629,Partido Popular de la Reconstrucción
presi,gral,2003,04,2232112,0053,12270,Conf. Para que se Vayan Todos
presi,gral,2003,04,2232112,0131,360778,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,04,2232112,0132,320890,Al. Frente Movimiento Popular
presi,gral,2003,04,2232112,0133,473190,Al. Frente por la Lealtad
presi,gral,2003,04,2232112,0134,187704,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,04,2232112,0135,180041,Al. Frente para la Victoria
presi,gral,2003,04,2232112,0136,25569,Al. Izquierda Unida
presi,gral,2003,04,2232112,0137,3721,Al. Tiempo de Cambios
presi,gral,2003,04,2232112,0138,5789,Al. Unidos o Dominados
presi,gral,2003,04,2232112,blancos,21277,blancos
presi,gral,2003,04,2232112,nulos,33100,nulos
