category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,05,616151,0001,3451,Mov. de Integración y Desarrollo
presi,gral,2003,05,616151,0003,36401,Unión Cívica Radical
presi,gral,2003,05,616151,0005,2645,Partido Demócrata Cristiano
presi,gral,2003,05,616151,0014,2894,Partido Obrero
presi,gral,2003,05,616151,0022,2016,Partido Humanista
presi,gral,2003,05,616151,0030,1903,Partido Socialista Auténtico
presi,gral,2003,05,616151,0037,1647,Mov. por la Dignidad y la Independencia
presi,gral,2003,05,616151,0050,2274,Partido Socialista
presi,gral,2003,05,616151,0051,1773,Partido Popular de la Reconstrucción
presi,gral,2003,05,616151,0053,3185,Conf. Para que se Vayan Todos
presi,gral,2003,05,616151,0131,57657,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,05,616151,0132,29786,Al. Frente Movimiento Popular
presi,gral,2003,05,616151,0133,177387,Al. Frente por la Lealtad
presi,gral,2003,05,616151,0134,55431,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,05,616151,0135,125972,Al. Frente para la Victoria
presi,gral,2003,05,616151,0136,5384,Al. Izquierda Unida
presi,gral,2003,05,616151,0137,1579,Al. Tiempo de Cambios
presi,gral,2003,05,616151,0138,1813,Al. Unidos o Dominados
presi,gral,2003,05,616151,blancos,4514,blancos
presi,gral,2003,05,616151,nulos,6736,nulos
