category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,08,818611,0001,1661,Mov. de Integración y Desarrollo
presi,gral,2003,08,818611,0003,25228,Unión Cívica Radical
presi,gral,2003,08,818611,0005,1947,Partido Demócrata Cristiano
presi,gral,2003,08,818611,0014,2301,Partido Obrero
presi,gral,2003,08,818611,0022,2352,Partido Humanista
presi,gral,2003,08,818611,0030,1525,Partido Socialista Auténtico
presi,gral,2003,08,818611,0037,1595,Mov. por la Dignidad y la Independencia
presi,gral,2003,08,818611,0050,5037,Partido Socialista
presi,gral,2003,08,818611,0051,3809,Partido Popular de la Reconstrucción
presi,gral,2003,08,818611,0053,2536,Conf. Para que se Vayan Todos
presi,gral,2003,08,818611,0131,89746,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,08,818611,0132,89368,Al. Frente Movimiento Popular
presi,gral,2003,08,818611,0133,185535,Al. Frente por la Lealtad
presi,gral,2003,08,818611,0134,76820,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,08,818611,0135,128511,Al. Frente para la Victoria
presi,gral,2003,08,818611,0136,5365,Al. Izquierda Unida
presi,gral,2003,08,818611,0137,3030,Al. Tiempo de Cambios
presi,gral,2003,08,818611,0138,1520,Al. Unidos o Dominados
presi,gral,2003,08,818611,blancos,5246,blancos
presi,gral,2003,08,818611,nulos,9943,nulos
