category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,14,598430,0001,2374,Mov. de Integración y Desarrollo
presi,gral,2003,14,598430,0003,32876,Unión Cívica Radical
presi,gral,2003,14,598430,0005,274,Partido Demócrata Cristiano
presi,gral,2003,14,598430,0014,1857,Partido Obrero
presi,gral,2003,14,598430,0022,1582,Partido Humanista
presi,gral,2003,14,598430,0030,15,Partido Socialista Auténtico
presi,gral,2003,14,598430,0037,1475,Mov. por la Dignidad y la Independencia
presi,gral,2003,14,598430,0050,2521,Partido Socialista
presi,gral,2003,14,598430,0051,265,Partido Popular de la Reconstrucción
presi,gral,2003,14,598430,0053,1853,Conf. Para que se Vayan Todos
presi,gral,2003,14,598430,0131,38183,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,14,598430,0132,39365,Al. Frente Movimiento Popular
presi,gral,2003,14,598430,0133,169275,Al. Frente por la Lealtad
presi,gral,2003,14,598430,0134,40200,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,14,598430,0135,99216,Al. Frente para la Victoria
presi,gral,2003,14,598430,0136,2497,Al. Izquierda Unida
presi,gral,2003,14,598430,0137,1170,Al. Tiempo de Cambios
presi,gral,2003,14,598430,0138,1557,Al. Unidos o Dominados
presi,gral,2003,14,598430,blancos,4548,blancos
presi,gral,2003,14,598430,nulos,6237,nulos
