category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,17,672352,0001,1507,Mov. de Integración y Desarrollo
presi,gral,2003,17,672352,0003,7518,Unión Cívica Radical
presi,gral,2003,17,672352,0005,1397,Partido Demócrata Cristiano
presi,gral,2003,17,672352,0014,13643,Partido Obrero
presi,gral,2003,17,672352,0022,2378,Partido Humanista
presi,gral,2003,17,672352,0030,54,Partido Socialista Auténtico
presi,gral,2003,17,672352,0037,1125,Mov. por la Dignidad y la Independencia
presi,gral,2003,17,672352,0050,2027,Partido Socialista
presi,gral,2003,17,672352,0051,530,Partido Popular de la Reconstrucción
presi,gral,2003,17,672352,0053,1556,Conf. Para que se Vayan Todos
presi,gral,2003,17,672352,0131,92640,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,17,672352,0132,32643,Al. Frente Movimiento Popular
presi,gral,2003,17,672352,0133,206827,Al. Frente por la Lealtad
presi,gral,2003,17,672352,0134,41244,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,17,672352,0135,61566,Al. Frente para la Victoria
presi,gral,2003,17,672352,0136,3403,Al. Izquierda Unida
presi,gral,2003,17,672352,0137,142,Al. Tiempo de Cambios
presi,gral,2003,17,672352,0138,808,Al. Unidos o Dominados
presi,gral,2003,17,672352,blancos,3691,blancos
presi,gral,2003,17,672352,nulos,7222,nulos
