category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,20,129615,0001,171,Mov. de Integración y Desarrollo
presi,gral,2003,20,129615,0003,1369,Unión Cívica Radical
presi,gral,2003,20,129615,0005,227,Partido Demócrata Cristiano
presi,gral,2003,20,129615,0014,899,Partido Obrero
presi,gral,2003,20,129615,0022,320,Partido Humanista
presi,gral,2003,20,129615,0030,179,Partido Socialista Auténtico
presi,gral,2003,20,129615,0037,136,Mov. por la Dignidad y la Independencia
presi,gral,2003,20,129615,0050,404,Partido Socialista
presi,gral,2003,20,129615,0051,80,Partido Popular de la Reconstrucción
presi,gral,2003,20,129615,0053,315,Conf. Para que se Vayan Todos
presi,gral,2003,20,129615,0131,4677,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,20,129615,0132,2664,Al. Frente Movimiento Popular
presi,gral,2003,20,129615,0133,8345,Al. Frente por la Lealtad
presi,gral,2003,20,129615,0134,5965,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,20,129615,0135,84167,Al. Frente para la Victoria
presi,gral,2003,20,129615,0136,1292,Al. Izquierda Unida
presi,gral,2003,20,129615,0137,18,Al. Tiempo de Cambios
presi,gral,2003,20,129615,0138,140,Al. Unidos o Dominados
presi,gral,2003,20,129615,blancos,290,blancos
presi,gral,2003,20,129615,nulos,1005,nulos
