category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,22,517665,0001,570,Mov. de Integración y Desarrollo
presi,gral,2003,22,517665,0003,9512,Unión Cívica Radical
presi,gral,2003,22,517665,0005,1309,Partido Demócrata Cristiano
presi,gral,2003,22,517665,0014,540,Partido Obrero
presi,gral,2003,22,517665,0022,6,Partido Humanista
presi,gral,2003,22,517665,0030,0,0030
presi,gral,2003,22,517665,0037,346,Mov. por la Dignidad y la Independencia
presi,gral,2003,22,517665,0050,1269,Partido Socialista
presi,gral,2003,22,517665,0051,411,Partido Popular de la Reconstrucción
presi,gral,2003,22,517665,0053,0,0053
presi,gral,2003,22,517665,0131,23609,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,22,517665,0132,16455,Al. Frente Movimiento Popular
presi,gral,2003,22,517665,0133,147425,Al. Frente por la Lealtad
presi,gral,2003,22,517665,0134,13239,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,22,517665,0135,142334,Al. Frente para la Victoria
presi,gral,2003,22,517665,0136,3087,Al. Izquierda Unida
presi,gral,2003,22,517665,0137,4,0137
presi,gral,2003,22,517665,0138,101,Al. Unidos o Dominados
presi,gral,2003,22,517665,blancos,4184,blancos
presi,gral,2003,22,517665,nulos,2407,nulos
