category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,24,70071,0001,95,Mov. de Integración y Desarrollo
presi,gral,2003,24,70071,0003,481,Unión Cívica Radical
presi,gral,2003,24,70071,0005,139,Partido Demócrata Cristiano
presi,gral,2003,24,70071,0014,260,Partido Obrero
presi,gral,2003,24,70071,0022,266,Partido Humanista
presi,gral,2003,24,70071,0030,1,Partido Socialista Auténtico
presi,gral,2003,24,70071,0037,93,Mov. por la Dignidad y la Independencia
presi,gral,2003,24,70071,0050,471,Partido Socialista
presi,gral,2003,24,70071,0051,80,Partido Popular de la Reconstrucción
presi,gral,2003,24,70071,0053,266,Conf. Para que se Vayan Todos
presi,gral,2003,24,70071,0131,3871,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,24,70071,0132,3421,Al. Frente Movimiento Popular
presi,gral,2003,24,70071,0133,12012,Al. Frente por la Lealtad
presi,gral,2003,24,70071,0134,7101,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,24,70071,0135,24519,Al. Frente para la Victoria
presi,gral,2003,24,70071,0136,495,Al. Izquierda Unida
presi,gral,2003,24,70071,0137,166,Al. Tiempo de Cambios
presi,gral,2003,24,70071,0138,337,Al. Unidos o Dominados
presi,gral,2003,24,70071,blancos,223,blancos
presi,gral,2003,24,70071,nulos,1221,nulos
