category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,23,873935,0001,1704,Mov. de Integración y Desarrollo
presi,gral,2003,23,873935,0003,5537,Unión Cívica Radical
presi,gral,2003,23,873935,0005,1927,Partido Demócrata Cristiano
presi,gral,2003,23,873935,0014,5241,Partido Obrero
presi,gral,2003,23,873935,0022,2965,Partido Humanista
presi,gral,2003,23,873935,0030,1658,Partido Socialista Auténtico
presi,gral,2003,23,873935,0037,1024,Mov. por la Dignidad y la Independencia
presi,gral,2003,23,873935,0050,3435,Partido Socialista
presi,gral,2003,23,873935,0051,1289,Partido Popular de la Reconstrucción
presi,gral,2003,23,873935,0053,2844,Conf. Para que se Vayan Todos
presi,gral,2003,23,873935,0131,121421,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,23,873935,0132,81317,Al. Frente Movimiento Popular
presi,gral,2003,23,873935,0133,197035,Al. Frente por la Lealtad
presi,gral,2003,23,873935,0134,50258,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,23,873935,0135,151064,Al. Frente para la Victoria
presi,gral,2003,23,873935,0136,6000,Al. Izquierda Unida
presi,gral,2003,23,873935,0137,199,Al. Tiempo de Cambios
presi,gral,2003,23,873935,0138,114,Al. Unidos o Dominados
presi,gral,2003,23,873935,blancos,4998,blancos
presi,gral,2003,23,873935,nulos,10157,nulos
