category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,03,217756,0001,584,Mov. de Integración y Desarrollo
presi,gral,2003,03,217756,0003,13404,Unión Cívica Radical
presi,gral,2003,03,217756,0005,601,Partido Demócrata Cristiano
presi,gral,2003,03,217756,0014,1363,Partido Obrero
presi,gral,2003,03,217756,0022,773,Partido Humanista
presi,gral,2003,03,217756,0030,0,0030
presi,gral,2003,03,217756,0037,15,Mov. por la Dignidad y la Independencia
presi,gral,2003,03,217756,0050,799,Partido Socialista
presi,gral,2003,03,217756,0051,339,Partido Popular de la Reconstrucción
presi,gral,2003,03,217756,0053,0,0053
presi,gral,2003,03,217756,0131,19767,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,03,217756,0132,18601,Al. Frente Movimiento Popular
presi,gral,2003,03,217756,0133,83830,Al. Frente por la Lealtad
presi,gral,2003,03,217756,0134,6778,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,03,217756,0135,22905,Al. Frente para la Victoria
presi,gral,2003,03,217756,0136,1162,Al. Izquierda Unida
presi,gral,2003,03,217756,0137,8,Al. Tiempo de Cambios
presi,gral,2003,03,217756,0138,0,0138
presi,gral,2003,03,217756,blancos,1784,blancos
presi,gral,2003,03,217756,nulos,1532,nulos
