category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,06,653617,0001,1488,Mov. de Integración y Desarrollo
presi,gral,2003,06,653617,0003,95750,Unión Cívica Radical
presi,gral,2003,06,653617,0005,1181,Partido Demócrata Cristiano
presi,gral,2003,06,653617,0014,1802,Partido Obrero
presi,gral,2003,06,653617,0022,1239,Partido Humanista
presi,gral,2003,06,653617,0030,1560,Partido Socialista Auténtico
presi,gral,2003,06,653617,0037,1041,Mov. por la Dignidad y la Independencia
presi,gral,2003,06,653617,0050,1970,Partido Socialista
presi,gral,2003,06,653617,0051,130,Partido Popular de la Reconstrucción
presi,gral,2003,06,653617,0053,1586,Conf. Para que se Vayan Todos
presi,gral,2003,06,653617,0131,31824,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,06,653617,0132,23480,Al. Frente Movimiento Popular
presi,gral,2003,06,653617,0133,171920,Al. Frente por la Lealtad
presi,gral,2003,06,653617,0134,55761,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,06,653617,0135,93633,Al. Frente para la Victoria
presi,gral,2003,06,653617,0136,2901,Al. Izquierda Unida
presi,gral,2003,06,653617,0137,589,Al. Tiempo de Cambios
presi,gral,2003,06,653617,0138,1287,Al. Unidos o Dominados
presi,gral,2003,06,653617,blancos,4895,blancos
presi,gral,2003,06,653617,nulos,5919,nulos
