category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,09,299941,0001,2152,Mov. de Integración y Desarrollo
presi,gral,2003,09,299941,0003,9520,Unión Cívica Radical
presi,gral,2003,09,299941,0005,956,Partido Demócrata Cristiano
presi,gral,2003,09,299941,0014,1305,Partido Obrero
presi,gral,2003,09,299941,0022,1311,Partido Humanista
presi,gral,2003,09,299941,0030,1092,Partido Socialista Auténtico
presi,gral,2003,09,299941,0037,1240,Mov. por la Dignidad y la Independencia
presi,gral,2003,09,299941,0050,1107,Partido Socialista
presi,gral,2003,09,299941,0051,13,Partido Popular de la Reconstrucción
presi,gral,2003,09,299941,0053,1474,Conf. Para que se Vayan Todos
presi,gral,2003,09,299941,0131,15625,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,09,299941,0132,21535,Al. Frente Movimiento Popular
presi,gral,2003,09,299941,0133,63866,Al. Frente por la Lealtad
presi,gral,2003,09,299941,0134,24427,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,09,299941,0135,92813,Al. Frente para la Victoria
presi,gral,2003,09,299941,0136,2198,Al. Izquierda Unida
presi,gral,2003,09,299941,0137,46,Al. Tiempo de Cambios
presi,gral,2003,09,299941,0138,22,Al. Unidos o Dominados
presi,gral,2003,09,299941,blancos,1751,blancos
presi,gral,2003,09,299941,nulos,2586,nulos
