category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,10,374780,0001,708,Mov. de Integración y Desarrollo
presi,gral,2003,10,374780,0003,10631,Unión Cívica Radical
presi,gral,2003,10,374780,0005,590,Partido Demócrata Cristiano
presi,gral,2003,10,374780,0014,1131,Partido Obrero
presi,gral,2003,10,374780,0022,917,Partido Humanista
presi,gral,2003,10,374780,0030,5,Partido Socialista Auténtico
presi,gral,2003,10,374780,0037,488,Mov. por la Dignidad y la Independencia
presi,gral,2003,10,374780,0050,780,Partido Socialista
presi,gral,2003,10,374780,0051,444,Partido Popular de la Reconstrucción
presi,gral,2003,10,374780,0053,696,Conf. Para que se Vayan Todos
presi,gral,2003,10,374780,0131,16289,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,10,374780,0132,48810,Al. Frente Movimiento Popular
presi,gral,2003,10,374780,0133,50168,Al. Frente por la Lealtad
presi,gral,2003,10,374780,0134,18625,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,10,374780,0135,114305,Al. Frente para la Victoria
presi,gral,2003,10,374780,0136,4912,Al. Izquierda Unida
presi,gral,2003,10,374780,0137,390,Al. Tiempo de Cambios
presi,gral,2003,10,374780,0138,508,Al. Unidos o Dominados
presi,gral,2003,10,374780,blancos,2064,blancos
presi,gral,2003,10,374780,nulos,5939,nulos
