category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,11,221942,0001,1277,Mov. de Integración y Desarrollo
presi,gral,2003,11,221942,0003,6264,Unión Cívica Radical
presi,gral,2003,11,221942,0005,686,Partido Demócrata Cristiano
presi,gral,2003,11,221942,0014,1395,Partido Obrero
presi,gral,2003,11,221942,0022,1802,Partido Humanista
presi,gral,2003,11,221942,0030,901,Partido Socialista Auténtico
presi,gral,2003,11,221942,0037,679,Mov. por la Dignidad y la Independencia
presi,gral,2003,11,221942,0050,3188,Partido Socialista
presi,gral,2003,11,221942,0051,1243,Partido Popular de la Reconstrucción
presi,gral,2003,11,221942,0053,219,Conf. Para que se Vayan Todos
presi,gral,2003,11,221942,0131,28057,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,11,221942,0132,39429,Al. Frente Movimiento Popular
presi,gral,2003,11,221942,0133,56584,Al. Frente por la Lealtad
presi,gral,2003,11,221942,0134,23882,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,11,221942,0135,34195,Al. Frente para la Victoria
presi,gral,2003,11,221942,0136,2160,Al. Izquierda Unida
presi,gral,2003,11,221942,0137,767,Al. Tiempo de Cambios
presi,gral,2003,11,221942,0138,809,Al. Unidos o Dominados
presi,gral,2003,11,221942,blancos,1285,blancos
presi,gral,2003,11,221942,nulos,2778,nulos
