category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,12,191105,0001,277,Mov. de Integración y Desarrollo
presi,gral,2003,12,191105,0003,1989,Unión Cívica Radical
presi,gral,2003,12,191105,0005,50,Partido Demócrata Cristiano
presi,gral,2003,12,191105,0014,158,Partido Obrero
presi,gral,2003,12,191105,0022,144,Partido Humanista
presi,gral,2003,12,191105,0030,5,Partido Socialista Auténtico
presi,gral,2003,12,191105,0037,48,Mov. por la Dignidad y la Independencia
presi,gral,2003,12,191105,0050,110,Partido Socialista
presi,gral,2003,12,191105,0051,29,Partido Popular de la Reconstrucción
presi,gral,2003,12,191105,0053,277,Conf. Para que se Vayan Todos
presi,gral,2003,12,191105,0131,6404,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,12,191105,0132,4543,Al. Frente Movimiento Popular
presi,gral,2003,12,191105,0133,114193,Al. Frente por la Lealtad
presi,gral,2003,12,191105,0134,2667,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,12,191105,0135,9040,Al. Frente para la Victoria
presi,gral,2003,12,191105,0136,1016,Al. Izquierda Unida
presi,gral,2003,12,191105,0137,43,Al. Tiempo de Cambios
presi,gral,2003,12,191105,0138,43,Al. Unidos o Dominados
presi,gral,2003,12,191105,blancos,12100,blancos
presi,gral,2003,12,191105,nulos,892,nulos
