category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,13,1072340,0001,2281,Mov. de Integración y Desarrollo
presi,gral,2003,13,1072340,0003,11847,Unión Cívica Radical
presi,gral,2003,13,1072340,0005,2850,Partido Demócrata Cristiano
presi,gral,2003,13,1072340,0014,4416,Partido Obrero
presi,gral,2003,13,1072340,0022,5195,Partido Humanista
presi,gral,2003,13,1072340,0030,3020,Partido Socialista Auténtico
presi,gral,2003,13,1072340,0037,1591,Mov. por la Dignidad y la Independencia
presi,gral,2003,13,1072340,0050,9678,Partido Socialista
presi,gral,2003,13,1072340,0051,5042,Partido Popular de la Reconstrucción
presi,gral,2003,13,1072340,0053,5041,Conf. Para que se Vayan Todos
presi,gral,2003,13,1072340,0131,169182,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,13,1072340,0132,340416,Al. Frente Movimiento Popular
presi,gral,2003,13,1072340,0133,169596,Al. Frente por la Lealtad
presi,gral,2003,13,1072340,0134,80731,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,13,1072340,0135,85521,Al. Frente para la Victoria
presi,gral,2003,13,1072340,0136,9736,Al. Izquierda Unida
presi,gral,2003,13,1072340,0137,2735,Al. Tiempo de Cambios
presi,gral,2003,13,1072340,0138,2661,Al. Unidos o Dominados
presi,gral,2003,13,1072340,blancos,5129,blancos
presi,gral,2003,13,1072340,nulos,20582,nulos
