category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,15,318273,0001,1147,Mov. de Integración y Desarrollo
presi,gral,2003,15,318273,0003,1992,Unión Cívica Radical
presi,gral,2003,15,318273,0005,679,Partido Demócrata Cristiano
presi,gral,2003,15,318273,0014,2950,Partido Obrero
presi,gral,2003,15,318273,0022,2108,Partido Humanista
presi,gral,2003,15,318273,0030,69,Partido Socialista Auténtico
presi,gral,2003,15,318273,0037,838,Mov. por la Dignidad y la Independencia
presi,gral,2003,15,318273,0050,2753,Partido Socialista
presi,gral,2003,15,318273,0051,889,Partido Popular de la Reconstrucción
presi,gral,2003,15,318273,0053,115,Conf. Para que se Vayan Todos
presi,gral,2003,15,318273,0131,40796,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,15,318273,0132,19827,Al. Frente Movimiento Popular
presi,gral,2003,15,318273,0133,60147,Al. Frente por la Lealtad
presi,gral,2003,15,318273,0134,41259,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,15,318273,0135,60792,Al. Frente para la Victoria
presi,gral,2003,15,318273,0136,3917,Al. Izquierda Unida
presi,gral,2003,15,318273,0137,23,Al. Tiempo de Cambios
presi,gral,2003,15,318273,0138,1071,Al. Unidos o Dominados
presi,gral,2003,15,318273,blancos,3608,blancos
presi,gral,2003,15,318273,nulos,6349,nulos
