category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,16,352320,0001,1714,Mov. de Integración y Desarrollo
presi,gral,2003,16,352320,0003,10274,Unión Cívica Radical
presi,gral,2003,16,352320,0005,1587,Partido Demócrata Cristiano
presi,gral,2003,16,352320,0014,2906,Partido Obrero
presi,gral,2003,16,352320,0022,3166,Partido Humanista
presi,gral,2003,16,352320,0030,21,Partido Socialista Auténtico
presi,gral,2003,16,352320,0037,884,Mov. por la Dignidad y la Independencia
presi,gral,2003,16,352320,0050,3421,Partido Socialista
presi,gral,2003,16,352320,0051,1069,Partido Popular de la Reconstrucción
presi,gral,2003,16,352320,0053,1759,Conf. Para que se Vayan Todos
presi,gral,2003,16,352320,0131,44155,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,16,352320,0132,21617,Al. Frente Movimiento Popular
presi,gral,2003,16,352320,0133,50529,Al. Frente por la Lealtad
presi,gral,2003,16,352320,0134,48305,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,16,352320,0135,98859,Al. Frente para la Victoria
presi,gral,2003,16,352320,0136,4326,Al. Izquierda Unida
presi,gral,2003,16,352320,0137,99,Al. Tiempo de Cambios
presi,gral,2003,16,352320,0138,1327,Al. Unidos o Dominados
presi,gral,2003,16,352320,blancos,2272,blancos
presi,gral,2003,16,352320,nulos,6619,nulos
