category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,18,410876,0001,1145,Mov. de Integración y Desarrollo
presi,gral,2003,18,410876,0003,4444,Unión Cívica Radical
presi,gral,2003,18,410876,0005,1039,Partido Demócrata Cristiano
presi,gral,2003,18,410876,0014,1292,Partido Obrero
presi,gral,2003,18,410876,0022,1066,Partido Humanista
presi,gral,2003,18,410876,0030,1051,Partido Socialista Auténtico
presi,gral,2003,18,410876,0037,666,Mov. por la Dignidad y la Independencia
presi,gral,2003,18,410876,0050,2429,Partido Socialista
presi,gral,2003,18,410876,0051,686,Partido Popular de la Reconstrucción
presi,gral,2003,18,410876,0053,1384,Conf. Para que se Vayan Todos
presi,gral,2003,18,410876,0131,34247,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,18,410876,0132,135023,Al. Frente Movimiento Popular
presi,gral,2003,18,410876,0133,93172,Al. Frente por la Lealtad
presi,gral,2003,18,410876,0134,13101,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,18,410876,0135,71952,Al. Frente para la Victoria
presi,gral,2003,18,410876,0136,3412,Al. Izquierda Unida
presi,gral,2003,18,410876,0137,846,Al. Tiempo de Cambios
presi,gral,2003,18,410876,0138,754,Al. Unidos o Dominados
presi,gral,2003,18,410876,blancos,2262,blancos
presi,gral,2003,18,410876,nulos,5279,nulos
