category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,19,260318,0001,0,Mov. de Integración y Desarrollo
presi,gral,2003,19,260318,0003,2324,Unión Cívica Radical
presi,gral,2003,19,260318,0005,514,Partido Demócrata Cristiano
presi,gral,2003,19,260318,0014,518,Partido Obrero
presi,gral,2003,19,260318,0022,415,Partido Humanista
presi,gral,2003,19,260318,0030,3,Partido Socialista Auténtico
presi,gral,2003,19,260318,0037,312,Mov. por la Dignidad y la Independencia
presi,gral,2003,19,260318,0050,990,Partido Socialista
presi,gral,2003,19,260318,0051,5,Partido Popular de la Reconstrucción
presi,gral,2003,19,260318,0053,12,Conf. Para que se Vayan Todos
presi,gral,2003,19,260318,0131,8522,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,19,260318,0132,188235,Al. Frente Movimiento Popular
presi,gral,2003,19,260318,0133,6162,Al. Frente por la Lealtad
presi,gral,2003,19,260318,0134,8337,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,19,260318,0135,3334,Al. Frente para la Victoria
presi,gral,2003,19,260318,0136,1478,Al. Izquierda Unida
presi,gral,2003,19,260318,0137,12,Al. Tiempo de Cambios
presi,gral,2003,19,260318,0138,283,Al. Unidos o Dominados
presi,gral,2003,19,260318,blancos,3048,blancos
presi,gral,2003,19,260318,nulos,1643,nulos
