category,round,year,codprov,electores,listas,votos,nombre_lista
presi,gral,2003,21,2235568,0001,5055,Mov. de Integración y Desarrollo
presi,gral,2003,21,2235568,0003,28099,Unión Cívica Radical
presi,gral,2003,21,2235568,0005,5169,Partido Demócrata Cristiano
presi,gral,2003,21,2235568,0014,9744,Partido Obrero
presi,gral,2003,21,2235568,0022,6200,Partido Humanista
presi,gral,2003,21,2235568,0030,4490,Partido Socialista Auténtico
presi,gral,2003,21,2235568,0037,3843,Mov. por la Dignidad y la Independencia
presi,gral,2003,21,2235568,0050,27898,Partido Socialista
presi,gral,2003,21,2235568,0051,4277,Partido Popular de la Reconstrucción
presi,gral,2003,21,2235568,0053,9345,Conf. Para que se Vayan Todos
presi,gral,2003,21,2235568,0131,297316,Al. Mov. Fed. P/Recrear el Crecimiento
presi,gral,2003,21,2235568,0132,148848,Al. Frente Movimiento Popular
presi,gral,2003,21,2235568,0133,437667,Al. Frente por la Lealtad
presi,gral,2003,21,2235568,0134,434526,Al. Afirm.para una Rep. Igualitaria
presi,gral,2003,21,2235568,0135,275561,Al. Frente para la Victoria
presi,gral,2003,21,2235568,0136,25000,Al. Izquierda Unida
presi,gral,2003,21,2235568,0137,5107,Al. Tiempo de Cambios
presi,gral,2003,21,2235568,0138,2097,Al. Unidos o Dominados
presi,gral,2003,21,2235568,blancos,20614,blancos
presi,gral,2003,21,2235568,nulos,30042,nulos
